"","region","comuna","mod_comuna","direccion","iframe_info","latlot","horario","chileatiende"
"11","region de atacama","alto del carmen","sin modificador","direccion: anibal pinto s/n° - municipalidad","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3497.651146091474!2d-70.48875918483226!3d-28.75983087967681!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9690abaec639b703%3A0xa6278fd63c3e5413!2sMunicipalidad+de+Alto+del+Carmen!5e0!3m2!1ses-419!2scl!4v1535128130679","https://maps.google.com/maps?ll=-28.756555,-70.487092&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&cid=11972696284684243987","horario de atencion: jueves, de 09:00 a 14:30 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"12","region de atacama","caldera","sin modificador","direccion: angel scola n° 593, esquina avda. batallones de atacama","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1776.379793866295!2d-70.81784850952394!3d-27.06933556840709!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96bd69de136208bd%3A0x969a57bdf8956f36!2sAngel+Scola%2C+Caldera%2C+Regi%C3%B3n+de+Atacama!5e0!3m2!1ses-419!2scl!4v1535127040829","https://maps.google.com/maps?ll=-27.06765,-70.816756&z=17&t=m&hl=es-419&gl=CL&mapclient=embed&q=Angel%20Scola%20Caldera%20Atacama","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"13","region de atacama","chanaral","sin modificador","direccion: comercio n° 450","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1787.6840663528264!2d-70.62290526569079!3d-26.346952592200527!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96bcc57d804789af%3A0x4b1f757d0b674a92!2sINP!5e0!3m2!1ses-419!2scl!4v1535127572574","https://maps.google.com/maps?ll=-26.346955,-70.621811&z=17&t=m&hl=es-419&gl=CL&mapclient=embed&cid=5413174457045306002","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"14","region de atacama","copiapo","sin modificador","direccion: atacama n° 443, piso 1","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3543.307272882056!2d-70.33802768541683!3d-27.366117582934443!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96980476068141d1%3A0xce4ee353ec424aa!2sAtacama+443%2C+Copiap%C3%B3%2C+III+Regi%C3%B3n!5e0!3m2!1ses!2scl!4v1482951695765","https://maps.google.com/maps?ll=-27.365985,-70.335715&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Atacama%20443%20Copiap%C3%B3%20Atacama","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"15","region de atacama","diego de almagro","sin modificador","direccion: avenida juan martinez n° 920 - biblioteca municipal","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d893.4938228643448!2d-70.04833827078497!3d-26.391985897632846!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96a318aada150129%3A0x31d32a20bb8657ba!2sMUNICIPALIDAD+DIEGO+DE+ALMAGRO!5e0!3m2!1ses-419!2scl!4v1535128020978","https://maps.google.com/maps?ll=-26.391924,-70.047613&z=18&t=m&hl=es-419&gl=CL&mapclient=embed&cid=12071202408722917446","horario de atencion: miercoles, de 08:30 a 14:30 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"16","region de atacama","el salvador","sin modificador","direccion: avenida el tofo s/n°","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3578.378757351525!2d-69.63030428544522!3d-26.249368083417504!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96a3a879d386c5e3%3A0x2b62dc8691e1ca4a!2sAv.+El+Tofo%2C+El+Salvador%2C+Diego+de+Almagro%2C+III+Regi%C3%B3n!5e0!3m2!1ses!2scl!4v1482952887723ce","https://maps.google.com/maps?ll=-26.250968,-69.626347&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Av.%20El%20Tofo%20Diego%20de%20Almagro%20Atacama","horario de atencion: martes, de 10:00 a 13:30 hrs.","consultas al correo consultaselsalvador@chileatiende.cl"
"17","region de atacama","freirina","sin modificador","direccion: o'higgins s/n° - centro cultural","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3506.04546309815!2d-71.08093178483875!3d-28.508279868489616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x969723ebe8aa642d%3A0x2e84760018c4ff52!2sCentro+Cultural+De+Freirina!5e0!3m2!1ses-419!2scl!4v1535128211432","https://maps.google.com/maps?ll=-28.508536,-71.078802&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&cid=3351933765458132818","horario de atencion: miercoles, de 09:00 a 14:30 hrs.","consultas al correo consultaselsalvador@chileatiende.cl"
"18","region de atacama","huasco","sin modificador","direccion: latorre n° 115 - oficinas publicas","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3507.425284476064!2d-71.22139217865482!3d-28.46673628773526!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9696dfdca2e0f5d7%3A0xd56a7d9fa129b94e!2sLatorre%2C+Huasco%2C+Regi%C3%B3n+de+Atacama!5e0!3m2!1ses-419!2scl!4v1535128309647","https://maps.google.com/maps?ll=-28.466257,-71.221117&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Latorre%20Huasco%20Atacama","horario de atencion: martes, de 09:00 a 14:30 hrs.","consultas al correo consultaselsalvador@chileatiende.cl"
"19","region de atacama","tierra amarilla","sin modificador","direccion: avenida monsenor miguel lemour n° 536","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3543.7034633705916!2d-70.31933318541716!3d-27.3537377829397!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96980414688f2d75%3A0x6ea1fc1149821598!2sMonse%C3%B1or+Miguel+Lemeur+536%2C+Copiap%C3%B3%2C+III+Regi%C3%B3n!5e0!3m2!1ses!2scl!4v1482952180938","https://maps.google.com/maps?ll=-27.353738,-70.317144&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Monse%C3%B1or%20Miguel%20Lemeur%20536%20Copiap%C3%B3%20Atacama","horario de atencion: martes de 09:00 a 13:00 hrs.","consultas al correo consultaselsalvador@chileatiende.cl"
"20","region de atacama","vallenar","sin modificador","direccion: arturo prat n° 1301","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3503.7333704573252!2d-70.75907478538495!3d-28.577768182439364!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96974885b3d66c35%3A0x1f1402be50aabf50!2sArturo+Prat+1301%2C+Vallenar%2C+III+Regi%C3%B3n!5e0!3m2!1ses!2scl!4v1482953343536","https://maps.google.com/maps?ll=-28.577735,-70.756665&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Arturo%20Prat%201301%20Vallenar%20Atacama","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"21","region de coquimbo","andacollo","sin modificador","direccion: urmeneta n° 912","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3446.983157906473!2d-71.08772908533898!3d-30.237556781812458!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x968fd60fffbe3afd%3A0xb79e42a37dc855d3!2sUrmeneta+912%2C+Andacollo%2C+Regi%C3%B3n+de+Coquimbo!5e0!3m2!1ses!2scl!4v1482953666477","https://maps.google.com/maps?ll=-30.237557,-71.08554&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Urmeneta%20912%20Andacollo%20Coquimbo","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"22","region de coquimbo","canela","sin modificador","direccion: ignacio carrera pinto n° 340","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d851.3959758183662!2d-71.45833317077687!3d-31.398034854113057!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzHCsDIzJzUyLjkiUyA3McKwMjcnMjguMCJX!5e0!3m2!1ses-419!2scl!4v1535383260642","https://maps.google.com/maps?ll=-31.398028,-71.457778&z=18&t=m&hl=es-419&gl=CL&mapclient=embed","horario de atencion: martes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"23","region de coquimbo","combarbala","sin modificador","direccion: comercio n° 150","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3413.5610748725762!2d-71.00398208531205!3d-31.17745288148433!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x968f10a8046c64f1%3A0xf1c7bbc1209677f0!2sComercio+150%2C+Combarbala%2C+Combarbal%C3%A1%2C+Regi%C3%B3n+de+Coquimbo!5e0!3m2!1ses!2scl!4v1482954927060","https://maps.google.com/maps?ll=-31.177453,-71.001793&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Comercio%20150%20Combarbala%2C%20Combarbal%C3%A1%20Coquimbo","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"24","region de coquimbo","coquimbo","sin modificador","direccion: melgarejo n° 980","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3456.921723571957!2d-71.33961748534699!3d-29.952930081915696!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9691c8ff99673005%3A0xf881dd03a1d1129d!2sJuan+Melgarejo+980%2C+Coquimbo%2C+Regi%C3%B3n+de+Coquimbo!5e0!3m2!1ses!2scl!4v1482953599441","https://maps.google.com/maps?ll=-29.953019,-71.337461&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Juan%20Melgarejo%20980%20Coquimbo","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"25","region de coquimbo","illapel","sin modificador","direccion: constitucion n° 50","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3397.0229800552615!2d-71.17039268529864!3d-31.633221181332377!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x968f2ac00cdbc913%3A0x90e60638991e8d92!2sConstituci%C3%B3n+50%2C+Illapel%2C+Regi%C3%B3n+de+Coquimbo!5e0!3m2!1ses!2scl!4v1482954082618","https://maps.google.com/maps?ll=-31.633221,-71.170393&z=16&t=m&hl=es-419&gl=CL&mapclient=embed","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"26","region de coquimbo","la serena","sin modificador","direccion: balmaceda n° 696","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3458.5647261203358!2d-71.25245698534836!3d-29.905640281933046!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9691ca7acaac39df%3A0x4676b822096ed89c!2sAv.+Jose+Manuel+Balmaceda+696%2C+La+Serena%2C+Regi%C3%B3n+de+Coquimbo!5e0!3m2!1ses!2scl!4v1482953529384","https://maps.google.com/maps?ll=-29.905745,-71.249974&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Av.%20Balmaceda%20696%20La%20Serena%20Coquimbo","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"27","region de coquimbo","los vilos","sin modificador","direccion: lincoyan n° 280","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3386.72341135512!2d-71.51599038529032!3d-31.914111581241222!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x968939b010829939%3A0xff5ec346aedf95a7!2sLincoy%C3%A1n+280%2C+Los+Vilos%2C+Regi%C3%B3n+de+Coquimbo!5e0!3m2!1ses!2scl!4v1482954624575","https://maps.google.com/maps?ll=-31.912478,-71.513175&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Lincoy%C3%A1n%20280%20Los%20Vilos%20Coquimbo","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"28","region de coquimbo","monte patria","cerrado por contingencia","direccion: lautaro n° 204","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2040.0226009942696!2d-70.9594443921256!3d-30.6932134387819!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x968fba55a5ee34ef%3A0x377beb4711c2adc2!2sLautaro 204%2C Monte Patria%2C Coquimbo!5e0!3m2!1ses!2scl!4v1578426478432!5m2!1ses!2scl","https://maps.google.com/maps?ll=-30.693216,-70.958082&z=16&t=m&hl=es&gl=CL&mapclient=embed&q=Lautaro%20204%20Monte%20Patria%20Coquimbo","horario de atencion: miercoles de 08:30 a 14:00 hrs","modulo chileatiende express. tramites que se pueden realizar"
"29","region de coquimbo","ovalle","sin modificador","direccion: vicuna mackenna n° 626","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3434.0233545222413!2d-71.20849448532849!3d-30.605104481681824!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x968e4aa677cd56cb%3A0x45f592be307f47!2sBenjamin+Vicu%C3%B1a+Mackenna+626%2C+Ovalle%2C+Regi%C3%B3n+de+Coquimbo!5e0!3m2!1ses!2scl!4v1482954806116","https://maps.google.com/maps?ll=-30.605153,-71.206188&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Benjamin%20Vicu%C3%B1a%20Mackenna%20626%20Ovalle%20Coquimbo","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"30","region de coquimbo","punitaqui","cerrado por contingencia","direccion: lautaro s/n","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1713.0498986838843!2d-71.25661417528168!3d-30.827869667936607!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x0!2zMzDCsDQ5JzQwLjMiUyA3McKwMTUnMjEuNSJX!5e0!3m2!1ses-419!2scl!4v1535383787016","https://maps.google.com/maps?ll=-30.827861,-71.255972&z=17&t=m&hl=es-419&gl=CL&mapclient=embed","horario de atencion: viernes de 08:30 a 14:00 hrs","modulo chileatiende express. tramites que se pueden realizar"
"31","region de coquimbo","salamanca","sin modificador","direccion: manuel bulnes n° 214, local c","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3391.558290550085!2d-70.96419068484292!3d-31.782531281283667!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9688cf9b9290cbcb%3A0x2d6e8a56550dd388!2sManuel+Bulnes+214%2C+Salamanca%2C+Regi%C3%B3n+de+Coquimbo!5e0!3m2!1ses-419!2scl!4v1527713559376","https://maps.google.com/maps?ll=-31.78293,-70.961085&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Manuel%20Bulnes%20214%20Salamanca%20Coquimbo","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"32","region de coquimbo","vicuna","sin modificador","direccion: chacabuco n° 409-a","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3454.0780731734867!2d-70.71459498425922!3d-30.034617937781526!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96901a2b0eb69c17%3A0xe0865be8b565b20e!2sChacabuco 409%2C Vicu%C3%B1a%2C Coquimbo!5e0!3m2!1ses!2scl!4v1578426552235!5m2!1ses!2scl","https://maps.google.com/maps?ll=-30.034624,-70.712396&z=16&t=m&hl=es&gl=CL&mapclient=embed&q=Chacabuco%20409%20Vicu%C3%B1a%20Coquimbo","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"33","region de valparaiso","cabildo","sin modificador","direccion: zoila gac n° 798 - a","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3367.571336672752!2d-71.07602848527488!3d-32.43063868107795!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9688514a7e63bae7%3A0x2a71d72345fc4237!2sZoila+Gac+798%2C+Cabildo%2C+Regi%C3%B3n+de+Valpara%C3%ADso!5e0!3m2!1ses!2scl!4v1482957328562","https://maps.google.com/maps?ll=-32.427792,-71.067762&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Zoila%20Gac%20798%20Cabildo%20Valpara%C3%ADso","horario de atencion: martes y jueves, de 08:30 a 14:30 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"34","region de valparaiso","casablanca","sin modificador","direccion: portales n° 316","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3333.8769039715307!2d-71.40992908524761!3d-33.322033480810894!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x96626f135f783bf5%3A0xa58a2c7314801db6!2sAv+Portales+316%2C+Casablanca%2C+Regi%C3%B3n+de+Valpara%C3%ADso!5e0!3m2!1ses!2scl!4v1482955120523","https://maps.google.com/maps?ll=-33.322117,-71.407773&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Av%20Portales%20316%20Casablanca%20Valpara%C3%ADso","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
"35","region de valparaiso","concon","sin modificador","direccion: magallanes n° 1050, locales 6 y 7","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3348.728346702825!2d-71.52047298525969!3d-32.93177478092554!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9689c32cb03787a3%3A0xbec964711d37390c!2sMagallanes+1050%2C+Conc%C3%B3n%2C+Regi%C3%B3n+de+Valpara%C3%ADso!5e0!3m2!1ses!2scl!4v1482955183186","https://maps.google.com/maps?ll=-32.931775,-71.518284&z=16&t=m&hl=es-419&gl=CL&mapclient=embed&q=Magallanes%201050%20Conc%C3%B3n%20Valpara%C3%ADso","horario de atencion: lunes a jueves, de 08:30 a 14:30 hrs. viernes, de 08:30 a 14:00 hrs.","modulo chileatiende express. tramites que se pueden realizar"
